MYX
mscAt     : Thu Dec 31 2020 00:00:00 GMT+0000 (Coordinated Universal Time)
mscLink   : https://www.bursamalaysia.com/sites/5d809dcf39fba22790cad230/assets/5ff4163739fba21c7e048fbf/Mid_Small_Cap_PLCs__Mkt_cap_of_200_mil_to_2_bil__Dec2020.pdf
updatedAt : Mon Feb 22 2021 10:07:16 GMT+0000 (Coordinated Universal Time)
--------------------

3A       : msc
AAX      : msc
ADVENTA  : msc
AEMULUS  : msc
AEON     : msc
AHEALTH  : msc
AJI      : msc
AME      : msc
AMPROP   : msc
AMWAY    : msc
ANCOM    : msc
ANCOMLB  : msc
ANNJOO   : msc
APEX     : msc
APM      : msc
APOLLO   : msc
APPASIA  : msc
ASIAFLE  : msc
ASIAPLY  : msc
ASTINO   : msc
AT       : msc
ATLAN    : msc
AWANTEC  : msc
AYER     : msc
BAHVEST  : msc
BAUTO    : msc
BINTAI   : msc
BIOHLDG  : msc
BIPORT   : msc
BJASSET  : msc
BJCORP   : msc
BJFOOD   : msc
BJLAND   : msc
BLDPLNT  : msc
BOILERM  : msc
BORNOIL  : msc
BPLANT   : msc
BPPLAS   : msc
BREM     : msc
BSTEAD   : msc
CAB      : msc
CANONE   : msc
CAREPLS  : msc
CBIP     : msc
CCK      : msc
CCM      : msc
CEPAT    : msc
CETECH   : msc
CHHB     : msc
CHINHIN  : msc
CHINTEK  : msc
CHINWEL  : msc
CHOOBEE  : msc
CIHLDG   : msc
CJCEN    : msc
COASTAL  : msc
COCOLND  : msc
COMFORT  : msc
CRESNDO  : msc
CSCSTEL  : msc
CYPARK   : msc
DAIBOCI  : msc
DAYANG   : msc
DELEUM   : msc
DESTINI  : msc
DGB      : msc
DKSH     : msc
DNEX     : msc
DSONIC   : msc
DUFU     : msc
DUTALND  : msc
E&O      : msc
ECOFIRS  : msc
ECONBHD  : msc
ECOWLD   : msc
EDGENTA  : msc
EFORCE   : msc
EFRAME   : msc
EITA     : msc
EKOVEST  : msc
ELKDESA  : msc
ELSOFT   : msc
ENGTEX   : msc
ESCERAM  : msc
EVERGRN  : msc
EWINT    : msc
FAJAR    : msc
FAREAST  : msc
FAVCO    : msc
FCW      : msc
FIAMMA   : msc
